gen_es;gen_low;gen_up;psy_es;psy_low;psy_up;soc_es;soc_low;soc_up;phy_es;phy_low;phy_up;type;rq
;;;.145;.125;.164;.087;.067;.108;-.011;-.031;.009;beta;1
;;;.100;.081;.118;.057;.038;.076;.001;-.018;.020;beta;1
;;;.156;.137;.176;.081;.060;.101;.017;-.004;.038;beta;1
;;;.162;.145;.180;.104;.086;.122;-.009;-.028;.009;beta;1
;;;.165;.147;.183;.103;.085;.121;-.017;-.035;.003;beta;1
;;;.144;.115;.174;;;;.01;-.01;.03;beta;1
;;;.101;.064;.138;.025;-.012;.062;.004;-.029;.036;beta;1
;;;.185;.155;.195;.11;.09;.13;.01;-.01;.03;beta;1
;;;.14;.11;.17;.08;.05;.11;.02;.00;.04;beta;1
;;;.162;.145;.180;.104;.086;.122;-.009;-.028;.009;beta;1
;;;.199;.170;.228;.112;.082;.141;.058;.029;.087;beta;1
.061;.045;.078;.151;.134;.168;.076;.058;.094;.024;.006;.042;beta;1
;;;.146;.126;.165;.074;.053;.095;.016;-.005;.036;beta;1
;;;.191;.148;.234;.123;.072;.174;.042;.010;.073;beta;1
;;;.162;.144;.179;.099;.080;.119;-.010;-.029;.008;beta;1
.172;.131;.213;.329;.288;.369;.237;.196;.278;.053;.012;.094;beta;1
;;;.169;.129;.217;.093;.054;.143;.041;.005;.082;beta;1
.105;.066;.144;.177;.132;.222;.108;.059;.158;.082;.040;.124;beta;1
;;;.068;.042;.095;;;;.008;-.010;.026;beta;1
;;;.305;.348;.392;.212;.255;.299;-.005;-.038;.082;d;1
;;;.164;.142;.185;.081;.059;.102;-.001;-.022;.021;d;1
;;;.345;.310;.452;.235;.197;.279;.043;.003;.084;d;1
;;;.046;.029;.062;.040;.023;.058;.009;-.008;.027;beta;2
;;;.032;.013;.051;.020;.000;.039;-.007;-.025;.013;beta;2
;;;.046;.004;.089;.021;-.021;.063;.034;-.005;.073;beta;2
;;;.057;.039;.076;.023;.004;.042;.036;.017;.055;beta;2
;;;.058;.026;.090;.045;.012;.078;.014;-.020;.048;beta;2
;;;.094;.058;.130;.095;.057;.132;.020;-.017;.057;beta;2
;;;.035;.017;.053;;;;.02;.01;.04;beta;2
;;;-.006;-.032;.02;-.011;-.031;.009;-.016;-.042;.009;beta;2
;;;.017;.009;.025;.02;.01;.03;.007;-.001;.015;beta;2
;;;.02;.01;.04;.02;.00;.03;.01;-.01;.02;beta;2
;;;.038;.020;.056;.011;-.009;.028;.000;-.019;.018;beta;2
;;;.049;.031;.068;.041;.022;.060;.008;-.011;.027;beta;2
;;;.051;.031;.071;.027;.007;.048;.035;.014;.056;beta;2
-.003;-.018;.012;.020;.005;.035;.006;-.01;.022;.007;-.009;.023;beta;2
;;;.052;.034;.069;.043;.025;.061;.036;.018;.054;beta;2
;;;.040;.019;.061;.025;.003;.046;.026;.005;.046;beta;2
;;;.047;.029;.065;.051;.031;.071;.008;-.011;.027;beta;2
-.029;-.088;.030;-.021;-.079;.037;.000;-.059;.059;-.030;-.090;.029;beta;2
;;;.070;.033;.115;.052;.018;.100;.065;.035;.108;beta;2
-.001;-.018;.017;.010;-.007;.027;-.002;-.019;.016;.015;-.002;.032;beta;2
;;;.031;.017;.044;;;;.011;-.014;.037;beta;2